"data","ano","mes","tipo_taxi","dia_semana","volume","faturamento_total","distancia_media"
"2022-01-01","2022","1","green","saturday","1174","17893.63","3.74"
"2022-01-01","2022","1","yellow","saturday","61843","898421.9","3.91"
"2022-01-02","2022","1","green","sunday","1391","19262.44","3.34"
"2022-01-02","2022","1","yellow","sunday","57006","906757.16","4.46"
"2022-01-03","2022","1","yellow","monday","70632","1009085.29","3.88"
"2022-01-03","2022","1","green","monday","2167","27612.47","3.03"
"2022-01-04","2022","1","green","tuesday","2002","26876.45","3.11"
"2022-01-04","2022","1","yellow","tuesday","73045","980720.3","3.52"
"2022-01-05","2022","1","green","wednesday","2087","27006.9","3.07"
"2022-01-05","2022","1","yellow","wednesday","73093","951989.38","3.36"
"2022-01-06","2022","1","green","thursday","2158","27733.74","3.0"
"2022-01-06","2022","1","yellow","thursday","78361","973642.63","3.09"
"2022-01-07","2022","1","yellow","friday","70220","845835.16","3.06"
"2022-01-07","2022","1","green","friday","1741","22492.33","3.01"
"2022-01-08","2022","1","green","saturday","1810","24161.44","3.14"
"2022-01-08","2022","1","yellow","saturday","81727","1020069.01","3.19"
"2022-01-09","2022","1","yellow","sunday","62728","856464.69","3.72"
"2022-01-09","2022","1","green","sunday","1322","17407.54","3.22"
"2022-01-10","2022","1","yellow","monday","72156","908177.61","3.15"
"2022-01-10","2022","1","green","monday","1975","25022.08","2.8"
"2022-01-11","2022","1","yellow","tuesday","76188","911041.86","2.88"
"2022-01-11","2022","1","green","tuesday","2070","26546.77","2.83"
"2022-01-12","2022","1","yellow","wednesday","78872","954098.85","2.9"
"2022-01-12","2022","1","green","wednesday","1995","26629.56","3.01"
"2022-01-13","2022","1","green","thursday","2091","29428.17","3.08"
"2022-01-13","2022","1","yellow","thursday","83442","1032824.38","2.99"
"2022-01-14","2022","1","yellow","friday","92116","1157809.54","3.05"
"2022-01-14","2022","1","green","friday","2286","31239.19","3.05"
"2022-01-15","2022","1","yellow","saturday","87202","1056014.59","3.01"
"2022-01-15","2022","1","green","saturday","1792","24864.6","3.16"
"2022-01-16","2022","1","yellow","sunday","71359","916902.27","3.36"
"2022-01-16","2022","1","green","sunday","1504","20108.33","3.05"
"2022-01-17","2022","1","green","monday","1452","18689.83","3.03"
"2022-01-17","2022","1","yellow","monday","62232","862820.32","3.78"
"2022-01-18","2022","1","green","tuesday","2024","25648.66","2.77"
"2022-01-18","2022","1","yellow","tuesday","83173","1056753.96","3.09"
"2022-01-19","2022","1","green","wednesday","2216","29657.26","2.94"
"2022-01-19","2022","1","yellow","wednesday","84983","1033258.79","2.87"
"2022-01-20","2022","1","green","thursday","2213","28859.98","2.92"
"2022-01-20","2022","1","yellow","thursday","89194","1073165.06","2.86"
"2022-01-21","2022","1","yellow","friday","99299","1191029.98","2.79"
"2022-01-21","2022","1","green","friday","2348","31364.8","2.95"
"2022-01-22","2022","1","yellow","saturday","94818","1130087.59","2.87"
"2022-01-22","2022","1","green","saturday","1843","24843.58","3.13"
"2022-01-23","2022","1","yellow","sunday","75441","1001159.08","3.48"
"2022-01-23","2022","1","green","sunday","1520","20984.84","3.29"
"2022-01-24","2022","1","yellow","monday","77046","965226.35","3.08"
