"pu","do_loc","tipo_taxi","ano","volume","avg_speed"
"74","75","green","2022","18360","10.33"
"75","74","green","2022","16863","13.27"
"74","236","green","2022","11337","10.55"
"74","41","green","2022","10372","9.21"
"74","166","green","2022","9090","9.19"
"74","42","green","2022","8452","9.75"
"95","95","green","2022","8352","11.39"
"74","263","green","2022","8188","12.37"
"74","74","green","2022","7863","29.66"
"74","238","green","2022","7470","11.08"
"75","75","green","2022","7316","19.01"
"75","236","green","2022","6957","9.71"
"41","42","green","2022","6843","10.41"
"74","43","green","2022","6488","10.12"
"41","74","green","2022","6022","8.57"
"75","238","green","2022","5648","10.75"
"74","151","green","2022","5506","10.19"
"75","263","green","2022","5087","9.64"
"75","41","green","2022","5026","11.44"
"41","41","green","2022","5010","18.62"
"82","138","green","2022","4703","19.89"
"74","239","green","2022","4511","11.4"
"75","42","green","2022","4326","12.36"
"7","7","green","2022","4220","14.6"
"166","238","green","2022","4077","10.74"
"42","42","green","2022","4055","16.15"
"166","166","green","2022","3925","24.77"
"42","41","green","2022","3923","10.2"
"74","262","green","2022","3808","11.9"
"74","116","green","2022","3696","10.04"
"75","237","green","2022","3565","9.66"
"41","166","green","2022","3507","9.55"
"41","75","green","2022","3443","9.52"
"82","129","green","2022","3412","8.84"
"166","239","green","2022","3215","10.98"
"74","24","green","2022","3132","9.71"
"74","152","green","2022","3119","8.61"
"74","244","green","2022","3099","11.67"
"75","151","green","2022","2997","10.42"
"74","140","green","2022","2966","13.23"
"129","129","green","2022","2957","21.04"
"166","41","green","2022","2912","9.62"
"75","141","green","2022","2893","10.02"
"166","74","green","2022","2849","8.6"
"43","236","green","2022","2844","10.01"
"75","166","green","2022","2836","10.04"
"166","151","green","2022","2836","10.77"
"82","82","green","2022","2806","24.15"
"74","141","green","2022","2716","12.9"
"75","262","green","2022","2712","9.17"
"75","239","green","2022","2705","11.24"
"95","135","green","2022","2558","11.19"
"97","49","green","2022","2498","7.97"
"42","74","green","2022","2406","10.77"
"95","28","green","2022","2362","12.03"
"41","238","green","2022","2242","10.63"
"43","238","green","2022","2204","11.95"
"166","42","green","2022","2167","9.79"
"75","142","green","2022","2159","11.02"
"74","237","green","2022","2150","10.51"
"130","130","green","2022","2138","22.4"
"7","223","green","2022","2132","9.59"
"95","121","green","2022","2032","11.52"
"74","138","green","2022","2019","25.73"
"65","49","green","2022","2018","7.88"
"41","151","green","2022","1980","10.08"
"41","116","green","2022","1974","10.49"
"97","97","green","2022","1958","17.6"
"7","179","green","2022","1937","9.11"
"95","196","green","2022","1888","9.28"
"75","140","green","2022","1882","9.96"
"166","142","green","2022","1867","11.09"
"166","116","green","2022","1802","11.41"
"41","236","green","2022","1748","10.49"
"134","134","green","2022","1745","11.26"
"166","236","green","2022","1743","10.66"
"166","244","green","2022","1728","12.58"
"41","239","green","2022","1714","11.15"
"244","238","green","2022","1700","19.67"
"166","152","green","2022","1675","10.76"
"65","97","green","2022","1671","8.43"
"97","61","green","2022","1667","9.03"
"55","55","green","2022","1630","13.38"
"97","181","green","2022","1623","7.79"
"42","75","green","2022","1608","10.97"
"75","43","green","2022","1598","10.23"
"260","7","green","2022","1592","10.24"
"43","237","green","2022","1558","9.92"
"41","152","green","2022","1515","9.47"
"134","216","green","2022","1506","16.77"
"74","142","green","2022","1485","11.23"
"95","134","green","2022","1474","9.84"
"43","239","green","2022","1468","12.05"
"166","75","green","2022","1442","9.12"
