data,ano,mes,dia_semana,volume,faturamento_total,distancia_media
2021-12-31,2021,12,Friday,26,330.0,3.51
2022-01-01,2022,1,Saturday,63284,921575.09,6.98
2022-01-02,2022,1,Sunday,58616,931369.06,7.56
2022-01-03,2022,1,Monday,73038,1040891.95,9.92
2022-01-04,2022,1,Tuesday,75262,1012652.74,5.67
2022-01-05,2022,1,Wednesday,75372,982397.04,8.44
2022-01-06,2022,1,Thursday,80747,1006373.45,6.56
2022-01-07,2022,1,Friday,72192,1273519.86,5.13
2022-01-08,2022,1,Saturday,83755,1048417.0,3.68
2022-01-09,2022,1,Sunday,64246,877218.3,5.89
2022-01-10,2022,1,Monday,74324,936592.71,7.07
2022-01-11,2022,1,Tuesday,78438,940089.81,8.93
2022-01-12,2022,1,Wednesday,81075,984879.69,4.57
2022-01-13,2022,1,Thursday,85752,1065881.4,5.17
2022-01-14,2022,1,Friday,94651,1193079.47,7.15
2022-01-15,2022,1,Saturday,89221,1085232.16,9.43
2022-01-16,2022,1,Sunday,73065,941261.12,12.98
2022-01-17,2022,1,Monday,63877,885321.91,5.9
2022-01-18,2022,1,Tuesday,85415,1086412.99,6.38
2022-01-19,2022,1,Wednesday,87413,1066402.22,5.54
2022-01-20,2022,1,Thursday,91622,1105409.26,11.04
2022-01-21,2022,1,Friday,101899,1226819.67,6.37
2022-01-22,2022,1,Saturday,96938,1159699.4,4.6
2022-01-23,2022,1,Sunday,77177,1026456.19,4.63
2022-01-24,2022,1,Monday,79366,997189.25,5.98
2022-01-25,2022,1,Tuesday,88104,1066985.04,2.83
2022-01-26,2022,1,Wednesday,97436,1167503.22,5.11
2022-01-27,2022,1,Thursday,100719,1284795.28,7.14
2022-01-28,2022,1,Friday,96624,1272600.75,10.19
2022-01-29,2022,1,Saturday,34086,387621.4,20.42
2022-01-30,2022,1,Sunday,71298,974041.72,11.73
2022-01-31,2022,1,Monday,86565,1190680.04,11.24
2022-02-01,2022,2,Tuesday,93227,1237545.41,9.0
2022-02-02,2022,2,Wednesday,93510,1261948.52,9.67
2022-02-03,2022,2,Thursday,105467,1367698.24,6.34
2022-02-04,2022,2,Friday,111299,1340087.17,11.36
2022-02-05,2022,2,Saturday,117840,1433939.25,10.59
2022-02-06,2022,2,Sunday,88335,1185053.88,9.68
2022-02-07,2022,2,Monday,89604,1192883.1,6.66
2022-02-08,2022,2,Tuesday,103453,1292734.19,7.7
2022-02-09,2022,2,Wednesday,106819,1332524.46,5.75
2022-02-10,2022,2,Thursday,113520,1467058.51,4.23
2022-02-11,2022,2,Friday,118495,1574037.3,5.24
2022-02-12,2022,2,Saturday,120370,1553535.19,6.4
2022-02-13,2022,2,Sunday,93207,1229117.11,5.07
2022-02-14,2022,2,Monday,111392,1435745.59,10.18
2022-02-15,2022,2,Tuesday,111147,1432613.42,9.94
2022-02-16,2022,2,Wednesday,111031,1417844.77,8.27
2022-02-17,2022,2,Thursday,114148,1500024.35,9.73
2022-02-18,2022,2,Friday,117233,1616124.8,9.97
2022-02-19,2022,2,Saturday,114837,1470224.35,7.49
2022-02-20,2022,2,Sunday,95552,1305307.11,8.86
2022-02-21,2022,2,Monday,86226,1255905.92,6.06
2022-02-22,2022,2,Tuesday,102102,1371581.41,9.86
2022-02-23,2022,2,Wednesday,113041,1499778.17,6.82
2022-02-24,2022,2,Thursday,120614,1602352.64,8.03
2022-02-25,2022,2,Friday,118916,1551416.89,7.3
2022-02-26,2022,2,Saturday,123623,1622252.7,7.46
2022-02-27,2022,2,Sunday,100408,1447134.69,11.35
2022-02-28,2022,2,Monday,102937,1433101.02,5.83
2022-03-01,2022,3,Tuesday,114661,1553632.94,4.62
2022-03-02,2022,3,Wednesday,120494,1615451.74,6.93
2022-03-03,2022,3,Thursday,129944,1743896.22,4.74
2022-03-04,2022,3,Friday,129063,1749208.87,11.72
2022-03-05,2022,3,Saturday,120752,1576315.68,4.03
2022-03-06,2022,3,Sunday,95954,1397663.66,11.18
2022-03-07,2022,3,Monday,100267,1401290.52,11.05
2022-03-08,2022,3,Tuesday,117884,1591348.41,6.43
2022-03-09,2022,3,Wednesday,120820,1645744.84,11.49
2022-03-10,2022,3,Thursday,125611,1797488.05,5.36
2022-03-11,2022,3,Friday,130097,1838449.28,8.68
2022-03-12,2022,3,Saturday,121971,1543708.44,7.96
2022-03-13,2022,3,Sunday,100346,1448551.53,5.85
2022-03-14,2022,3,Monday,99106,1441641.47,9.7
2022-03-15,2022,3,Tuesday,112927,1577740.76,8.26
2022-03-16,2022,3,Wednesday,120115,1685010.75,6.08
2022-03-17,2022,3,Thursday,117161,1695398.28,6.28
2022-03-18,2022,3,Friday,128582,1877066.44,6.22
2022-03-19,2022,3,Saturday,120954,1664609.37,8.05
2022-03-20,2022,3,Sunday,100283,1579714.08,6.58
2022-03-21,2022,3,Monday,100795,1477429.43,8.14
2022-03-22,2022,3,Tuesday,113779,1570578.25,5.84
2022-03-23,2022,3,Wednesday,122747,1663549.49,5.04
2022-03-24,2022,3,Thursday,125034,1724985.09,5.63
2022-03-25,2022,3,Friday,124668,1773955.32,8.47
2022-03-26,2022,3,Saturday,127705,1709202.67,8.01
2022-03-27,2022,3,Sunday,107384,1571112.97,6.66
2022-03-28,2022,3,Monday,112818,1581646.79,5.86
2022-03-29,2022,3,Tuesday,124592,1696626.6,5.26
2022-03-30,2022,3,Wednesday,126953,1733135.12,7.64
2022-03-31,2022,3,Thursday,129095,1838012.63,5.7
2022-04-01,2022,4,Friday,136124,1939405.06,5.31
2022-04-02,2022,4,Saturday,128365,1767657.21,6.63
2022-04-03,2022,4,Sunday,104419,1548754.15,7.63
2022-04-04,2022,4,Monday,110121,1582487.88,5.0
2022-04-05,2022,4,Tuesday,122577,1709983.54,6.4
2022-04-06,2022,4,Wednesday,125182,1768170.65,9.3
