"trip_distance","tip_amount","tipo_taxi","ano"
"10.3","7.45","yellow","2022"
"2.0","4.1","yellow","2022"
"1.0","2.15","yellow","2022"
"2.6","4.7","yellow","2022"
"9.4","11.85","yellow","2022"
"5.2","4.35","yellow","2022"
"6.03","5.16","yellow","2022"
"0.75","2.0","yellow","2022"
"1.39","2.06","yellow","2022"
"11.49","9.2","yellow","2022"
"2.97","1.0","yellow","2022"
"0.95","1.0","yellow","2022"
"4.21","3.56","yellow","2022"
"1.57","2.0","yellow","2022"
"2.88","2.0","yellow","2022"
"14.31","8.51","yellow","2022"
"1.25","2.06","yellow","2022"
"0.8","1.75","yellow","2022"
"6.9","4.5","yellow","2022"
"1.02","1.86","yellow","2022"
"6.7","6.0","yellow","2022"
"1.25","2.16","yellow","2022"
"4.5","3.56","yellow","2022"
"0.79","5.0","yellow","2022"
"1.49","1.0","yellow","2022"
"7.0","5.36","yellow","2022"
"1.01","1.5","yellow","2022"
"2.5","4.4","yellow","2022"
"0.8","2.04","yellow","2022"
"4.71","4.46","yellow","2022"
"6.9","2.63","yellow","2022"
"0.57","1.66","yellow","2022"
"0.57","1.66","yellow","2022"
"1.53","2.26","yellow","2022"
"1.6","2.16","yellow","2022"
"10.5","8.8","yellow","2022"
"1.32","2.06","yellow","2022"
"7.9","2.0","yellow","2022"
"13.77","9.11","yellow","2022"
"8.1","3.0","yellow","2022"
"1.72","6.06","yellow","2022"
"1.43","2.26","yellow","2022"
"4.49","3.86","yellow","2022"
"18.3","12.37","yellow","2022"
"0.96","3.0","yellow","2022"
"1.87","3.08","yellow","2022"
"1.73","1.2","yellow","2022"
"2.69","4.59","yellow","2022"
"1.96","2.56","yellow","2022"
"3.87","3.36","yellow","2022"
"1.32","2.06","yellow","2022"
"1.39","3.2","yellow","2022"
"11.2","8.0","yellow","2022"
"2.5","3.5","yellow","2022"
"20.8","11.3","yellow","2022"
"1.6","2.2","yellow","2022"
"0.9","1.85","yellow","2022"
"1.94","2.66","yellow","2022"
"2.07","2.46","yellow","2022"
"4.24","2.0","yellow","2022"
"1.34","1.94","yellow","2022"
"3.63","3.46","yellow","2022"
"0.66","1.56","yellow","2022"
"2.94","2.76","yellow","2022"
"2.17","2.36","yellow","2022"
"2.56","2.46","yellow","2022"
"2.59","3.82","yellow","2022"
"2.56","2.0","yellow","2022"
"17.54","12.62","yellow","2022"
"0.92","2.0","yellow","2022"
"19.3","15.8","yellow","2022"
"3.0","5.15","yellow","2022"
"0.6","1.65","yellow","2022"
"4.48","4.82","yellow","2022"
"7.49","5.96","yellow","2022"
"1.49","1.0","yellow","2022"
"1.87","1.76","yellow","2022"
"4.52","3.56","yellow","2022"
"3.08","4.59","yellow","2022"
"3.27","2.46","yellow","2022"
"10.66","6.91","yellow","2022"
"7.18","4.61","yellow","2022"
"8.53","6.57","yellow","2022"
"2.66","2.3","yellow","2022"
"4.16","3.56","yellow","2022"
"1.27","1.0","yellow","2022"
"0.78","1.86","yellow","2022"
"1.1","2.15","yellow","2022"
"1.1","3.0","yellow","2022"
"2.81","2.0","yellow","2022"
"2.39","2.66","yellow","2022"
"1.91","2.26","yellow","2022"
"11.6","9.0","yellow","2022"
"2.32","4.83","yellow","2022"
"1.46","2.16","yellow","2022"
"1.4","3.09","yellow","2022"
"3.61","3.16","yellow","2022"
"17.36","12.37","yellow","2022"
"9.5","6.6","yellow","2022"
"4.79","4.46","yellow","2022"
"1.5","2.35","yellow","2022"
"18.05","12.62","yellow","2022"
"1.2","2.25","yellow","2022"
"1.1","1.95","yellow","2022"
"5.3","1.0","yellow","2022"
"2.3","2.0","yellow","2022"
"3.74","3.36","yellow","2022"
"8.45","6.36","yellow","2022"
"4.05","2.0","yellow","2022"
"2.31","2.76","yellow","2022"
"2.61","2.86","yellow","2022"
"1.26","1.86","yellow","2022"
"3.25","2.0","yellow","2022"
"4.38","4.06","yellow","2022"
"1.03","1.86","yellow","2022"
"3.93","5.04","yellow","2022"
"1.02","1.08","yellow","2022"
"1.2","2.45","yellow","2022"
"4.08","1.88","yellow","2022"
"1.4","2.25","yellow","2022"
"0.9","1.65","yellow","2022"
"2.8","3.8","yellow","2022"
"4.59","3.86","yellow","2022"
"0.85","2.45","yellow","2022"
"3.14","2.96","yellow","2022"
"1.72","2.36","yellow","2022"
"1.55","1.0","yellow","2022"
"3.5","3.45","yellow","2022"
"0.6","1.65","yellow","2022"
"2.2","2.55","yellow","2022"
"1.9","2.56","yellow","2022"
"2.09","3.84","yellow","2022"
"7.5","8.75","yellow","2022"
"2.2","2.56","yellow","2022"
"3.37","3.46","yellow","2022"
"1.24","2.16","yellow","2022"
"4.52","6.84","yellow","2022"
"0.8","1.75","yellow","2022"
"3.1","2.95","yellow","2022"
"1.1","0.38","yellow","2022"
"4.27","4.82","yellow","2022"
"7.45","5.46","yellow","2022"
"1.89","2.26","yellow","2022"
"3.4","2.0","yellow","2022"
"7.34","6.16","yellow","2022"
"5.55","4.36","yellow","2022"
"7.7","5.56","yellow","2022"
"18.9","5.0","yellow","2022"
"2.49","2.96","yellow","2022"
"4.87","4.46","yellow","2022"
"3.3","3.06","yellow","2022"
"1.3","2.15","yellow","2022"
"2.1","3.0","yellow","2022"
"9.23","7.57","yellow","2022"
"3.22","3.16","yellow","2022"
"3.3","3.15","yellow","2022"
"2.56","2.86","yellow","2022"
"5.94","6.08","yellow","2022"
"3.56","3.76","yellow","2022"
"19.04","12.62","yellow","2022"
"3.44","1.5","yellow","2022"
"6.37","4.96","yellow","2022"
"1.94","2.46","yellow","2022"
"1.16","2.94","yellow","2022"
"4.1","3.46","yellow","2022"
"20.8","12.6","yellow","2022"
"21.27","10.0","yellow","2022"
"10.38","7.87","yellow","2022"
"2.15","2.46","yellow","2022"
"1.49","2.26","yellow","2022"
"1.87","1.77","yellow","2022"
