"ano","mes","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2022","1","green","monday","0","94","13.85","3.32"
"2022","1","yellow","monday","0","5658","20.46","6.42"
"2022","1","yellow","monday","1","2944","20.55","6.46"
"2022","1","green","monday","1","54","12.03","2.69"
"2022","1","green","monday","2","46","14.12","3.22"
"2022","1","yellow","monday","2","1566","16.7","4.96"
"2022","1","green","monday","3","29","20.42","4.5"
"2022","1","yellow","monday","3","1190","19.68","5.89"
"2022","1","yellow","monday","4","1225","19.99","5.93"
"2022","1","green","monday","4","35","19.03","4.2"
"2022","1","green","monday","5","45","25.95","7.19"
"2022","1","yellow","monday","5","2421","19.5","5.79"
"2022","1","green","monday","6","168","14.53","3.68"
"2022","1","yellow","monday","6","6653","16.1","4.64"
"2022","1","green","monday","7","479","12.67","2.92"
"2022","1","yellow","monday","7","13718","13.72","3.54"
"2022","1","yellow","monday","8","18654","12.87","3.03"
"2022","1","green","monday","8","649","13.86","3.17"
"2022","1","green","monday","9","603","13.2","3.02"
"2022","1","yellow","monday","9","19008","12.48","2.88"
"2022","1","yellow","monday","10","19320","12.59","3.02"
"2022","1","green","monday","10","600","13.29","3.03"
"2022","1","green","monday","11","572","13.8","3.08"
"2022","1","yellow","monday","11","20005","11.94","2.79"
"2022","1","yellow","monday","12","22083","12.14","2.88"
"2022","1","green","monday","12","563","13.83","3.15"
"2022","1","yellow","monday","13","22762","12.6","3.05"
"2022","1","green","monday","13","615","13.88","3.02"
"2022","1","green","monday","14","736","13.98","3.04"
"2022","1","yellow","monday","14","25871","13.11","3.18"
"2022","1","yellow","monday","15","28401","13.1","3.23"
"2022","1","green","monday","15","772","13.05","2.79"
"2022","1","green","monday","16","751","12.54","2.63"
"2022","1","yellow","monday","16","26873","12.93","3.15"
"2022","1","green","monday","17","750","12.51","2.78"
"2022","1","yellow","monday","17","27855","12.59","3.11"
"2022","1","yellow","monday","18","27198","12.24","3.09"
"2022","1","green","monday","18","712","12.11","2.69"
"2022","1","yellow","monday","19","21531","12.79","3.46"
"2022","1","green","monday","19","555","12.2","2.86"
"2022","1","yellow","monday","20","16483","14.01","3.9"
"2022","1","green","monday","20","374","12.1","2.86"
"2022","1","green","monday","21","277","11.82","2.77"
"2022","1","yellow","monday","21","14268","14.5","4.11"
"2022","1","green","monday","22","195","13.37","3.28"
"2022","1","yellow","monday","22","12289","15.8","4.62"
"2022","1","yellow","monday","23","8260","17.47","5.29"
"2022","1","green","monday","23","155","12.61","3.17"
"2022","1","green","tuesday","0","67","13.09","3.58"
"2022","1","yellow","tuesday","0","3754","19.24","5.96"
"2022","1","yellow","tuesday","1","1721","18.05","5.53"
"2022","1","green","tuesday","1","55","14.04","2.93"
"2022","1","green","tuesday","2","29","11.18","2.58"
"2022","1","yellow","tuesday","2","972","17.41","5.21"
"2022","1","yellow","tuesday","3","657","19.12","5.92"
"2022","1","green","tuesday","3","25","23.56","7.03"
"2022","1","green","tuesday","4","21","20.87","4.89"
"2022","1","yellow","tuesday","4","688","19.31","5.75"
"2022","1","green","tuesday","5","42","20.0","4.82"
"2022","1","yellow","tuesday","5","1783","16.73","4.87"
"2022","1","yellow","tuesday","6","5891","15.13","4.32"
"2022","1","green","tuesday","6","150","13.98","3.53"
"2022","1","yellow","tuesday","7","13038","12.56","3.15"
"2022","1","green","tuesday","7","430","12.78","2.84"
"2022","1","green","tuesday","8","522","12.66","2.71"
"2022","1","yellow","tuesday","8","17594","11.71","2.63"
"2022","1","green","tuesday","9","557","12.83","2.89"
"2022","1","yellow","tuesday","9","17562","11.89","2.68"
"2022","1","yellow","tuesday","10","17568","12.09","2.73"
"2022","1","green","tuesday","10","548","12.38","2.78"
"2022","1","green","tuesday","11","511","14.04","3.09"
"2022","1","yellow","tuesday","11","18096","11.68","2.6"
"2022","1","green","tuesday","12","473","13.69","3.06"
"2022","1","yellow","tuesday","12","18969","11.7","2.61"
"2022","1","green","tuesday","13","485","14.57","3.33"
"2022","1","yellow","tuesday","13","19177","12.15","2.82"
"2022","1","green","tuesday","14","590","13.62","2.95"
"2022","1","yellow","tuesday","14","21432","12.59","2.91"
"2022","1","yellow","tuesday","15","23358","12.7","3.02"
"2022","1","green","tuesday","15","649","13.81","2.96"
"2022","1","green","tuesday","16","654","12.77","2.7"
"2022","1","yellow","tuesday","16","21972","12.54","2.95"
"2022","1","green","tuesday","17","621","13.2","2.84"
"2022","1","yellow","tuesday","17","23766","12.1","2.89"
"2022","1","green","tuesday","18","546","11.99","2.66"
"2022","1","yellow","tuesday","18","24137","11.52","2.77"
"2022","1","green","tuesday","19","449","11.23","2.54"
"2022","1","yellow","tuesday","19","18755","11.95","3.14"
"2022","1","yellow","tuesday","20","14456","12.55","3.35"
"2022","1","green","tuesday","20","304","11.95","2.71"
"2022","1","yellow","tuesday","21","13638","13.07","3.56"
"2022","1","green","tuesday","21","219","12.38","3.0"
"2022","1","yellow","tuesday","22","11909","13.56","3.75"
"2022","1","green","tuesday","22","186","12.72","3.04"
"2022","1","green","tuesday","23","118","12.26","2.95"
"2022","1","yellow","tuesday","23","7260","14.96","4.33"
"2022","1","yellow","wednesday","0","4015","15.77","4.67"
"2022","1","green","wednesday","0","87","12.74","3.1"
"2022","1","green","wednesday","1","60","11.79","2.84"
"2022","1","yellow","wednesday","1","1871","14.58","4.28"
"2022","1","yellow","wednesday","2","1121","14.67","4.19"
"2022","1","green","wednesday","2","33","13.9","3.03"
"2022","1","green","wednesday","3","29","13.89","3.05"
"2022","1","yellow","wednesday","3","670","14.78","4.19"
"2022","1","green","wednesday","4","20","14.54","2.67"
"2022","1","yellow","wednesday","4","804","18.07","5.26"
"2022","1","green","wednesday","5","37","16.67","4.69"
