"trip_distance","tip_amount","tipo_taxi","ano"
"1.63","2.06","green","2022"
"3.33","3.23","green","2022"
"0.8","1.0","green","2022"
"2.05","0.8","green","2022"
"1.92","2.26","green","2022"
"4.45","5.34","green","2022"
"2.39","2.06","green","2022"
"4.1","5.06","green","2022"
"1.69","3.46","green","2022"
"1.69","2.2","green","2022"
"1.69","3.46","green","2022"
"4.95","6.69","green","2022"
"3.15","1.95","green","2022"
"2.02","4.22","green","2022"
"1.69","1.96","green","2022"
"3.63","1.0","green","2022"
"1.23","2.31","green","2022"
"6.92","5.97","green","2022"
"1.38","1.82","green","2022"
"2.1","4.0","green","2022"
"1.5","1.75","green","2022"
"0.92","2.7","green","2022"
"0.69","1.1","green","2022"
"2.72","2.46","green","2022"
"1.5","3.02","green","2022"
"6.9","5.45","green","2022"
"2.0","1.16","green","2022"
"2.22","3.2","green","2022"
"0.92","2.11","green","2022"
"2.45","3.61","green","2022"
"0.87","1.36","green","2022"
"3.93","5.89","green","2022"
"1.4","1.75","green","2022"
"3.72","1.43","green","2022"
"2.61","2.76","green","2022"
"2.51","3.55","green","2022"
"2.58","2.5","green","2022"
"5.16","5.2","green","2022"
"3.76","3.06","green","2022"
"4.75","4.46","green","2022"
"1.37","1.82","green","2022"
"1.65","1.0","green","2022"
"10.2","5.56","green","2022"
"1.1","1.76","green","2022"
"1.78","2.16","green","2022"
"1.98","2.82","green","2022"
"3.05","1.5","green","2022"
"2.16","2.95","green","2022"
"1.92","1.0","green","2022"
"1.78","1.86","green","2022"
"2.75","2.0","green","2022"
"2.5","2.35","green","2022"
"1.38","2.19","green","2022"
"2.38","2.36","green","2022"
"1.25","1.56","green","2022"
"8.97","7.82","green","2022"
"1.19","1.46","green","2022"
"3.75","3.91","green","2022"
"3.53","5.0","green","2022"
"1.56","2.26","green","2022"
"8.64","7.07","green","2022"
"2.0","2.71","green","2022"
"2.28","2.81","green","2022"
"1.2","1.65","green","2022"
"4.02","3.96","green","2022"
"2.65","3.91","green","2022"
"4.85","4.81","green","2022"
"4.33","5.39","green","2022"
"0.53","1.06","green","2022"
"2.24","0.02","green","2022"
"0.7","1.15","green","2022"
"2.09","2.32","green","2022"
"12.24","10.91","green","2022"
"2.9","5.26","green","2022"
"1.3","1.66","green","2022"
"2.89","3.21","green","2022"
"1.48","1.96","green","2022"
"0.7","1.25","green","2022"
"5.63","6.39","green","2022"
"3.67","2.93","green","2022"
"1.01","1.1","green","2022"
"3.41","3.76","green","2022"
"1.14","1.7","green","2022"
"8.22","5.16","green","2022"
"1.4","2.2","green","2022"
"3.22","3.01","green","2022"
"3.5","1.0","green","2022"
"2.21","2.0","green","2022"
"1.8","1.0","green","2022"
"2.31","3.2","green","2022"
"1.7","1.86","green","2022"
"4.09","3.36","green","2022"
"1.82","1.26","green","2022"
"6.94","5.41","green","2022"
"1.2","2.0","green","2022"
"4.99","6.16","green","2022"
"1.57","1.76","green","2022"
"2.32","3.51","green","2022"
"0.86","1.91","green","2022"
"4.83","1.0","green","2022"
"1.76","2.0","green","2022"
"1.7","3.0","green","2022"
"1.06","1.66","green","2022"
"1.1","1.06","green","2022"
"4.32","1.0","green","2022"
"8.13","7.64","green","2022"
"7.1","5.35","green","2022"
"2.56","2.82","green","2022"
"2.48","4.36","green","2022"
"2.45","2.66","green","2022"
"1.13","3.16","green","2022"
"2.88","2.56","green","2022"
"6.29","4.26","green","2022"
"3.07","3.54","green","2022"
"2.76","4.0","green","2022"
"3.99","4.32","green","2022"
"1.41","1.7","green","2022"
"1.34","1.95","green","2022"
"1.97","2.51","green","2022"
"0.97","1.76","green","2022"
"2.53","3.55","green","2022"
"2.54","2.56","green","2022"
"1.99","1.96","green","2022"
"2.94","2.0","green","2022"
"3.01","4.01","green","2022"
"2.89","3.51","green","2022"
"2.3","3.0","green","2022"
"1.01","1.46","green","2022"
"2.57","2.3","green","2022"
"2.72","0.08","green","2022"
"1.3","2.89","green","2022"
"1.41","2.2","green","2022"
"0.93","1.56","green","2022"
"1.17","1.56","green","2022"
"4.2","5.45","green","2022"
"7.36","6.0","green","2022"
"2.02","0.01","green","2022"
"3.07","3.88","green","2022"
"1.3","4.0","green","2022"
"9.5","10.22","green","2022"
"0.75","1.74","green","2022"
"1.1","1.5","green","2022"
"1.37","2.41","green","2022"
"1.28","2.32","green","2022"
"1.67","1.66","green","2022"
"2.9","2.93","green","2022"
"1.93","3.08","green","2022"
"5.31","3.0","green","2022"
"1.4","1.75","green","2022"
"1.2","1.1","green","2022"
"0.75","1.0","green","2022"
"1.3","2.08","green","2022"
"1.15","1.86","yellow","2022"
"2.12","2.56","yellow","2022"
"8.65","6.97","yellow","2022"
"2.17","1.5","yellow","2022"
"3.16","3.0","yellow","2022"
"1.27","1.96","yellow","2022"
"1.0","1.4","yellow","2022"
"4.88","7.31","yellow","2022"
"2.72","3.16","yellow","2022"
"1.1","2.0","yellow","2022"
"1.64","1.7","yellow","2022"
"8.58","6.47","yellow","2022"
"1.82","2.66","yellow","2022"
"1.93","3.4","yellow","2022"
"14.3","6.0","yellow","2022"
"0.93","3.09","yellow","2022"
"2.3","3.8","yellow","2022"
"2.1","3.3","yellow","2022"
"10.55","5.3","yellow","2022"
"19.87","12.37","yellow","2022"
"0.95","1.96","yellow","2022"
"18.73","10.0","yellow","2022"
"17.8","9.96","yellow","2022"
"2.0","3.3","yellow","2022"
"17.27","11.96","yellow","2022"
"15.15","4.65","yellow","2022"
"1.5","1.7","yellow","2022"
"7.58","7.86","yellow","2022"
"0.79","1.14","yellow","2022"
"2.0","2.45","yellow","2022"
"1.76","3.54","yellow","2022"
"1.98","2.56","yellow","2022"
"1.49","2.26","yellow","2022"
"0.8","1.55","yellow","2022"
"1.57","5.0","yellow","2022"
"0.98","2.94","yellow","2022"
"5.12","4.14","yellow","2022"
"2.95","3.0","yellow","2022"
"2.42","2.86","yellow","2022"
"1.15","2.06","yellow","2022"
"1.94","1.33","yellow","2022"
"1.6","2.55","yellow","2022"
"2.42","2.6","yellow","2022"
"0.86","1.66","yellow","2022"
"2.8","1.0","yellow","2022"
"1.9","1.48","yellow","2022"
"8.68","5.81","yellow","2022"
"20.3","11.6","yellow","2022"
"2.5","2.85","yellow","2022"
"3.3","2.0","yellow","2022"
"1.59","2.66","yellow","2022"
"2.5","2.07","yellow","2022"
"2.9","3.35","yellow","2022"
"18.6","13.5","yellow","2022"
"5.26","5.47","yellow","2022"
"3.91","4.76","yellow","2022"
"2.23","2.66","yellow","2022"
"1.12","1.0","yellow","2022"
"1.02","1.66","yellow","2022"
"2.17","3.36","yellow","2022"
"1.02","1.75","yellow","2022"
"10.07","8.22","yellow","2022"
"9.98","8.22","yellow","2022"
"7.08","3.8","yellow","2022"
"1.4","1.0","yellow","2022"
"1.5","3.3","yellow","2022"
"3.2","3.0","yellow","2022"
"1.53","1.0","yellow","2022"
"3.7","1.0","yellow","2022"
"0.7","1.75","yellow","2022"
"1.1","2.35","yellow","2022"
"0.8","1.18","yellow","2022"
"2.36","2.36","yellow","2022"
"4.81","3.0","yellow","2022"
"1.96","1.18","yellow","2022"
"1.3","1.0","yellow","2022"
"1.14","1.86","yellow","2022"
"1.19","2.0","yellow","2022"
"2.0","2.95","yellow","2022"
